MOFid,metal,linker,logKH_CO2,pure_uptake_CO2_298.00_15000,pure_uptake_methane_298.00_6500000,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites
ABAYIO_clean,[Mn],[C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][#C],-4.353803176633964,0.4529062832,8.4242319463,11.39486,4.3226,11.27409,0.949126,1428.73,1505.31,409.494,431.444,0.6636,0.69917,0.0,Mn,No, 
ABAYOU_clean,[Co],[C][=Branch1][C][=O][Branch2][Ring1][#Branch1][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][N][OH0],-4.388713329587092,0.4286057006,8.3411195131,11.27344,4.5108,11.27344,0.979267,1463.42,1494.4,419.062,427.935,0.6638,0.677854,0.0,Co,No, 
ABETIN_clean,[Cu],[C][=C][C][=Branch1][=Branch1][=C][C][=N][Ring1][=Branch1][C][=C][C][Branch1][=Branch2][C][C][=C][N][=C][C][=Ring1][=Branch1][=C][Branch1][=Branch2][C][C][=C][N][=C][C][=Ring1][=Branch1][C][=C][Ring2][Ring1][C][C][=C][C][=N][C][=C][Ring1][=Branch1],-4.611687388996154,0.3742264473,17.698172036,9.47418,7.83744,9.45292,0.597233,2275.99,3810.89,0.0,0.0,0.7302,1.22264,0.0,Cu,No, 
ABEXEM_clean,[La],[O][=C][Branch1][C][OH0][C][=N][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0],-2.858048804137247,2.7876345496,2.5015883151,4.82084,4.14331,4.80387,1.76082,968.791,550.193,3.54724,2.01454,0.494,0.280551,0.0,La,Yes,La
ABEXIQ_clean,[Ce],[OH0][C][=Branch1][C][=O][C][=N][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0],-1.3342061349255447,3.3418525535,2.4305415118,4.80529,4.06893,4.80529,1.7876,954.695,534.065,11.1491,6.2369,0.4776,0.267174,0.0,Ce,Yes,Ce
ABEXOW_clean,[Pr],[O][=C][Branch1][C][OH0][C][=N][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0],-1.6205965730278182,3.1725033041,2.3801337315,4.7727,4.04921,4.7549,1.81243,948.305,523.222,8.72645,4.81477,0.5026,0.277307,0.0,Pr,Yes,Pr
ABEXUC_clean,[Nd],[O][=C][Branch1][C][OH0][C][=N][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0],-1.1176809894482511,2.9043659148,2.3505087583,4.74458,4.0168,4.72731,1.84813,905.952,490.198,6.39745,3.46157,0.4864,0.263185,0.0,Nd,Yes,Nd
ABEYAJ_clean,[Sm],[O][=C][Branch1][C][OH0][C][=N][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0],-2.512905480577274,2.8429307414,2.2285429246,4.73097,3.9715,4.71386,1.90641,913.695,479.276,5.68199,2.98047,0.4682,0.245593,0.0,Sm,Yes,Sm
ABEYEN_clean,[Eu],[O][=C][Branch1][C][OH0][C][=N][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0],-2.7463204129574086,2.629417934,2.1626109472,4.70447,3.94356,4.68752,1.9293,894.021,463.392,4.63057,2.40013,0.4642,0.240606,0.0,Eu,Yes,Eu
ABEYIR_clean,[Gd],[OH0][C][=Branch1][C][=O][C][=N][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0],-3.731323761389159,1.7894611042,2.1145325618,4.69665,3.92183,4.69665,1.96962,879.845,446.707,3.91969,1.99007,0.464,0.235578,0.0,Gd,Yes,Gd
ABUWOJ_clean,[Zn],[C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][=C][Ring1][=Branch2][C][=Branch1][C][=O][OH0],-2.2966071550247977,5.2500781472,7.2854048733,5.07969,4.03039,4.98773,1.15833,1745.23,1506.68,0.0,0.0,0.621,0.536118,0.0,Zn,Yes,Zn
ACIBOE_clean,[Zn],[C][=Branch2][Ring1][=Branch1][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][C][=Branch1][C][=O][OH0][C][=Branch1][C][=O][OH0],-3.961606381897776,1.1301860806,7.8153665695,8.25776,7.03071,8.25776,1.10094,2063.01,1873.86,0.0,0.0,0.6554,0.595309,0.0,Zn,Yes,Zn
ACOLEL_clean,[Mn],[OH0][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch2][C][Branch1][C][N][=C][Ring1][#Branch1][C][=Branch1][C][=O][OH0],-4.903583625963439,0.1176188421,0.3809335302,4.00255,2.78217,3.89811,1.45481,0.0,0.0,32.9393,22.6416,0.354,0.24333,0.0,Mn,Yes,Mn
ACOLIP_clean,[Zn],[OH0][C][=Branch1][C][=O][C][=C][C][=Branch1][=N][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2][N],-3.6539131613539646,2.2884398249,5.9499581195,4.91034,3.57647,4.78103,1.04949,1065.44,1015.2,0.0,0.0,0.5434,0.517777,0.0,Zn,No, 
ACOLOV_clean,[Cd],[C][Branch2][Branch1][O][C][Branch2][Ring1][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][Branch2][Ring1][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][O][C][C][Branch2][Ring1][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][Branch2][Ring1][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0],-3.657277364780797,1.972926258,10.3044810958,8.42183,5.53552,8.41851,0.863411,2226.99,2579.3,0.0,0.0,0.6794,0.786879,0.0,Cd,Yes,Cd
acs.cgd.6b00463_OLOMUZ1451936_clean,[Ag][Ca],[S][=C][N][=C][C][=C][CH0][Ring1][=Branch1][C][=Branch1][C][=O][OH0],-2.18044093021716,1.8635750888,6.991406491,10.32513,7.87202,10.32103,1.07611,1950.06,1812.15,0.0,0.0,0.6638,0.616853,0.0,"Ca,Ag",Yes,"Ca,Ag"
acs.inorgchem.6b00433_ic6b00433_si_002_clean,[Cu],[C][=N][CH1][N][Branch2][Ring1][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Branch1][O][C][=C][C][=C][C][=C][Ring1][=C][Ring1][=Branch1][N][C][=N][C][=N][Ring1][Branch1][NH0][Ring2][Ring1][Branch2],-3.945015617771869,1.7161871854,5.1556048534,5.96211,4.62167,5.8482,1.10398,1177.53,1066.62,0.0,0.0,0.5062,0.458523,0.0,Cu,Yes,Cu
acs.inorgchem.6b00894_ic6b00894_si_002_clean,[Zn],[C][=Branch1][C][=O][Branch1][C][OH0][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2],-3.708644471669368,2.0819855774,5.5299039917,6.64699,4.59021,5.67003,1.10689,1216.8,1099.29,0.0,0.0,0.5272,0.476289,0.0,Zn,Yes,Zn
acs.inorgchem.6b00894_ic6b00894_si_003_clean,[Cd],[C][=N][C][=C][C][Branch2][Ring2][Ring2][C][C][=C][C][=N][C@H1][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1][C][N][Ring1][P][C][=Ring2][Ring1][Branch1][=C][Ring2][Ring1][O],-3.9933329024186137,0.8837696864000001,2.0863529273,5.39452,2.99444,5.35605,1.36061,0.0,0.0,496.94,365.232,0.4792,0.352194,0.0,Cd,No, 
acs.inorgchem.6b01569_ic6b01569_si_002_clean,[Ni],[C][=C][Branch1][#Branch1][C][=C][N][=C][Ring1][=Branch1][C][C][C][=C][C][=N][C][=C][Ring1][=Branch1],-3.716000390442363,1.9497438337,3.666392372,6.29847,5.43889,6.29847,1.11326,868.696,780.315,0.0,0.0,0.5092,0.457394,0.0,Ni,Yes,Ni
acs.inorgchem.6b02407_ic6b02407_si_002_clean,[Zn][Li],[OH0][C][=Branch1][C][=O][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][C][=C][Ring2][Ring1][#Branch1][C][Ring2][Ring1][C][=C][Ring1][S][Ring1][=Branch1],-3.711761956201258,2.501932905,9.7819828609,6.36153,3.76503,6.36153,0.960789,1995.17,2076.59,0.0,0.0,0.6214,0.64676,0.0,"Zn,Li",Yes,"Zn,Li"
acs.inorgchem.6b02407_ic6b02407_si_003_clean,[Zn][Li],[C][=Branch1][C][=O][Branch2][Ring2][S][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][=C][C][=C][Branch2][Ring1][=Branch2][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][C][=C][Ring2][Ring1][Ring2][C][Ring1][#C][=C][Ring1][=N][Ring1][=Branch1][C][=Branch1][C][=O][OH0][OH0],-3.7456719051274754,2.1825917536,6.8316988511000005,6.24791,4.32537,6.22758,1.12188,1617.2,1441.52,0.0,0.0,0.5614,0.500411,0.0,"Zn,Li",No, 
acs.inorgchem.6b02696_ic6b02696_si_002_clean,[Zn],[C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][#C],-4.384657122984661,0.5501871662,10.7168433974,12.13124,5.0609,12.1281,0.908718,2183.39,2402.71,0.0,0.0,0.6878,0.75689,0.0,Zn,No, 
acscombsci.5b00188_5020072_clean,[Zn],[C][=Branch1][C][=O][Branch2][Ring2][#C][C][=C][Branch2][Ring2][Branch2][C][=Branch2][Ring2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][/C][=Branch2][Ring1][Branch1][=C][/C][=C][C][=C][Branch1][=Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][#N][C][=Branch1][C][=O][OH0][/C][#N][C][#N][C][#N][OH0],-4.812930728769577,0.2107838939,17.0865470377,14.46967,11.94118,14.45544,0.429595,1931.96,4497.16,0.0,0.0,0.8224,1.91436,0.0,Zn,No, 
acscombsci.5b00188_5024922_clean,[Zn],[C][=Branch1][C][=O][Branch2][Ring2][N][C][=C][Branch2][Ring2][=Branch1][C][=Branch2][Ring1][P][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=N][N][=C][Branch1][S][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][N][=N][Ring1][#C][O][O][OH0],-4.914641624308168,0.1630102001,20.0785588695,20.5205,15.85622,20.5205,0.295002,1403.53,4757.71,0.0,0.0,0.8866,3.00541,0.0,Zn,No, 
acscombsci.5b00188_5036495_clean,[Zn],[C][#Branch2][Ring1][Ring1][#C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][#C][C][=Branch1][C][=O][OH0][C][=Branch1][C][=O][OH0],-5.101218341866116,0.1200827733,22.3686923073,10.8747,9.02496,10.86921,0.338372,2296.38,6786.58,0.0,0.0,0.8498,2.51144,0.0,Zn,No, 
ACUJOZ_manual,[Cr][Cu],[C][Branch2][Ring1][=Branch1][CH1][CH1][C][=C][C][=Branch1][#Branch2][=C][C][Branch1][Ring1][CH0][=O][=C][Ring1][Branch2][C][=Branch1][C][=O][OH0][=C][C][=Branch1][O][=C][C][=Branch1][Branch1][=C][Ring2][Ring1][Ring1][CH0][OH0][C][=Branch1][C][=O][OH0],-4.271101864698428,0.9742161822,13.7442382115,11.50806,7.82539,10.51641,0.694288,2343.63,3375.59,0.0,0.0,0.739,1.0644,0.0,"Cu,Cr",Yes,"Cu,Cr"
ACUTOI_clean,[Na][Cd],[O][=C][Branch1][C][OH0][C][=C][C][Branch1][=Branch2][S][Branch1][C][OH0][Branch1][C][OH0][OH0][=C][Branch1][Branch1][C][=C][Ring1][#Branch2][C][=Branch1][C][=O][OH0],-3.942010767371308,1.1483699795,2.2738304354,5.192,4.5372,5.18708,1.71994,820.91,477.29,0.0,0.0,0.4076,0.236985,0.0,"Cd,Na",Yes,Na
ADASIJ_clean,[Cu],[C][=Branch2][#Branch1][Ring1][=C][C][=Branch2][=Branch1][=Branch2][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][C][=C][C][Branch2][Ring1][=Branch2][C][O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][C][=Branch1][C][=O][OH0][=C][C][Branch2][Ring1][=Branch2][C][O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][C][=Branch1][C][=O][OH0][=C][Ring2][Ring2][C][C][=Branch1][C][=O][OH0][C][=Branch1][C][=O][OH0],-4.594213249829706,0.3735449563,15.8407484577,18.23438,6.60024,18.20695,0.629251,2196.94,3491.36,0.0,0.0,0.765,1.21573,0.0,Cu,Yes,Cu
ADASOP_clean,[Zn],[OH0][C][=Branch1][C][=O][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][=Branch1][Ring2][=C][Ring1][=Branch2][O][C][C][=C][C][Branch2][Ring1][=Branch2][C][O][C][=C][C][=Branch1][=N][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][=Branch2][C][=Branch1][C][=O][OH0][=C][C][Branch2][Ring1][=Branch2][C][O][C][=C][C][=Branch1][=N][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][=Branch2][C][=Branch1][C][=O][OH0][=C][Ring2][Ring2][C],-4.041727177259105,1.3464846199,16.4491055187,18.07263,6.71346,18.07263,0.63164,2223.07,3519.51,0.0,0.0,0.7846,1.24216,0.0,Zn,Yes,Zn
ADASUV_clean,[Co],[O][=C][Branch2][#Branch1][Ring1][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][=Branch1][Ring2][=C][Ring1][=Branch2][O][C][C][=C][C][Branch2][Ring1][=Branch2][C][O][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][N][=C][C][Branch2][Ring1][=Branch2][C][O][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][=Branch1][Ring2][=C][Ring1][=Branch2][C][=Branch1][C][=O][OH0][=C][Ring2][Ring2][C][OH0],-4.271792360334458,0.8084102567,15.8330976715,17.16775,6.7332,17.16775,0.625693,2275.03,3636.01,0.0,0.0,0.7672,1.22616,0.0,Co,Yes,Co
ADATAC_clean,[Zn],[N][=Branch2][Branch2][O][=N][\C][=C][C][=C][Branch2][#Branch1][=C][O][C][C][=C][C][Branch2][Ring2][#Branch1][C][O][C][=C][C][=C][Branch2][Ring1][=Branch2][/N][=N][/C][=C][C][=Branch1][=N][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][=Branch2][C][=Branch1][C][=O][OH0][C][=C][Ring2][Ring1][Ring2][=C][C][Branch2][Ring2][#Branch1][C][O][C][=C][C][=C][Branch2][Ring1][=Branch2][/N][=N][/C][=C][C][=Branch1][=N][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][=Branch2][C][=Branch1][C][=O][OH0][C][=C][Ring2][Ring1][Ring2][=C][Ring2][Branch1][C][C][=C][Ring2][Branch1][#Branch2][/C][=C][C][=Branch1][=N][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][=Branch2][C][=Branch1][C][=O][OH0],-4.432058930826437,0.5305370288,23.5828723076,26.33515,10.27637,16.37091,0.33727,1729.95,5129.28,0.0,0.0,0.871,2.5825,0.0,Zn,Yes,Zn
ADATEG_manual,[Cu],[C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][C][Branch2][O][=N][C][=C][C][=Branch2][Ring1][#Branch1][=C][C][Branch1][S][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2][=C][Ring1][#C][C][#C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][Branch2][Branch1][Branch2][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][#C][C][=C][C][Branch1][S][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2][=C][C][Branch1][S][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2][=C][Ring2][Ring1][Branch2][C][=C][C][=C][Branch2][Ring2][=C][C][#C][C][=C][C][=Branch2][Ring1][#Branch1][=C][C][Branch1][S][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2][=C][Ring1][#C][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2][C][=C][Ring2][Ring1][S][=C][Ring2][#Branch1][P],-5.0167892649108365,0.1440832977,28.7858251626,27.33782,13.33904,27.33782,0.238777,1473.42,6170.7,0.0,0.0,0.896,3.75246,0.0,Cu,Yes,Cu
ADAVEI_clean,[Ag],[C][=C][C][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][N][/N][=C][Branch1][C][\C][/C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][Branch2][Ring1][=Branch2][C][=C][C][=C][Branch1][#C][/C][=Branch1][O][=N][/N][C][=C][C][=C][C][=N][Ring1][=Branch1][/C][C][=C][Ring1][S][C][=C][C][=C][Branch1][#C][/C][=Branch1][O][=N][/N][C][=N][C][=C][C][=C][Ring1][=Branch1][/C][C][=C][Ring1][S],-4.399771157691505,0.5792473229,14.3969501091,10.15021,8.70819,10.15021,0.656268,2410.23,3672.63,0.0,0.0,0.719,1.09559,0.0,Ag,Yes,Ag
ADAVIM_clean,[Ag],[C][=C][C][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][NH0][/N][=C][Branch1][C][\C][/C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][Branch2][Ring1][=Branch2][C][=C][C][=C][Branch1][#C][/C][=Branch1][O][=N][/NH0][C][=N][C][=C][C][=C][Ring1][=Branch1][/C][C][=C][Ring1][S][C][=C][C][=C][Branch1][#C][/C][=Branch1][O][=N][/NH0][C][=C][C][=C][C][=N][Ring1][=Branch1][/C][C][=C][Ring1][S],-4.528521993095584,0.4268461031,14.3865826583,10.34557,8.90065,10.34557,0.637582,2355.11,3693.81,0.0,0.0,0.727,1.14025,0.0,Ag,Yes,Ag
ADEGIA_clean,[Gd],[OH0][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2],-1.7551170219456846,2.8213455104,2.5212071322,4.84442,2.87756,4.78086,1.59673,0.0,0.0,710.717,445.108,0.5002,0.313266,0.0,Gd,Yes,Gd
ADOCEC_clean,[Ni][V],[C][=C][C][=Branch1][=Branch1][=C][C][=N][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1],-0.4675284502521831,6.3968831848,4.1665687345,5.40135,3.83278,5.40061,1.53544,942.082,613.56,194.67,126.785,0.4904,0.319388,0.0,"Ni,V",Yes,V
ADUWIH_clean,[Zn],[C][=Branch2][=Branch2][=Branch1][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][O][C][C][=C][Branch2][#Branch1][Branch1][C][Branch2][Ring1][C][C][O][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][=C][Branch2][Ring2][O][C][Branch2][Ring1][C][C][O][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring2][Ring1][N][C][O][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][C][O][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][C][O][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][C][=Branch1][C][=O][OH0],-4.430709211298975,0.5662486864,12.1140149176,9.28386,6.55138,8.99777,0.722123,2053.82,2844.14,0.0,0.0,0.7098,0.982935,0.0,Zn,Yes,Zn
ADUWON_clean,[Ni],[C][=Branch1][C][=O][Branch2][=Branch2][#Branch1][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][C][=C][Branch2][#Branch1][Branch1][C][Branch2][Ring1][C][C][O][C][=C][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][=Branch2][=C][Branch2][Ring2][O][C][Branch2][Ring1][C][C][O][C][=C][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][=Branch2][=C][Ring2][Ring1][N][C][O][C][=C][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][=Branch2][C][O][C][=C][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][=Branch2][C][O][C][=C][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][=Branch2][OH0],-4.460429639141582,0.5978678822,17.9304986882,16.37935,5.99724,16.37935,0.521247,2391.39,4587.82,0.0,0.0,0.7844,1.50485,0.0,Ni,Yes,Ni
AFENEE_clean,[Ag],[N][=Branch1][=N][=C][Branch1][=Branch2][\C][=C][C][=N][C][=C][Ring1][=Branch1][/C][/C][C][/N][=C][Branch1][C][\C][/C][=C][C][=N][C][=C][Ring1][=Branch1],-3.782950567560112,1.7135521245,5.214905449,4.49346,3.41581,4.45719,1.24906,796.3,637.522,0.0,0.0,0.4856,0.388774,0.0,Ag,Yes,Ag
AFITEP_clean,[Zn],[C][=Branch1][C][=O][Branch2][Ring1][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][#C][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2][OH0],-3.491952649352543,2.9561667728,6.966805854,4.64022,4.09997,4.63375,1.06928,1521.04,1422.49,0.0,0.0,0.5262,0.492105,0.0,Zn,No, 
AFIXAO_clean,[Co],[N][=C][N][=C][CH1][Ring1][Branch1],-4.323485630975639,0.5406767771000001,5.1571265328,6.3306,4.52097,6.32879,1.12223,1320.24,1176.44,0.0,0.0,0.5702,0.508096,0.0,Co,No, 
AFOQUI_clean,[Zn],[C][=Branch1][C][=O][Branch2][Ring1][#Branch1][C][=C][C][=Branch1][=N][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][=Branch2][C][=Branch1][C][=O][OH0][OH0],-2.9623066324165315,1.9349721957,1.9595567922,4.25157,3.00568,4.24901,1.62091,0.0,0.0,313.788,193.588,0.479,0.295514,0.0,Zn,Yes,Zn
AFOTOF_clean,[Eu],[C][=Branch1][C][=O][Branch2][Ring1][#Branch2][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][OH0],-3.3234902044077144,2.7908806914,7.8097069967,8.7931,6.77287,8.7931,1.07439,1647.74,1533.66,0.0,0.0,0.6144,0.571859,0.0,Eu,No, 
AFOVIB_clean,[Gd],[C][=Branch1][C][=O][Branch2][Ring1][#Branch2][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][OH0],-3.8221461914777,1.7801400563,7.7990764554,8.79334,6.74118,8.79334,1.0948,1657.47,1513.94,0.0,0.0,0.6104,0.557543,0.0,Gd,No, 
AFOYAW_clean,[Cu],[C][=N][N][=C][N][Ring1][Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][=N][N][=C][Ring1][Branch1],-4.088184786699517,1.2678854603,7.5831883261,5.94533,4.22739,5.94533,0.978122,1810.39,1850.89,0.0,0.0,0.6112,0.624871,0.0,Cu,Yes,Cu
AFOYIE_clean,[Cu],[C][=N][N][=C][N][Ring1][Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][=N][N][=C][Ring1][Branch1],-3.917361812255213,1.4855746131,12.4747221417,9.08566,8.61929,9.08005,0.761887,2055.27,2697.6,0.0,0.0,0.71,0.931897,0.0,Cu,Yes,Cu
AFUKIX_clean,[Mn],[C][=C][C][=Branch2][Ring1][#Branch1][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][CH0][=N][CH0][=CH0][Ring1][Branch1][N][C][=C][N][=C][Ring1][Branch1],-3.9722590918434135,1.2148446229,11.1516430146,8.69504,5.47442,8.69504,0.784292,2017.86,2572.85,0.0,0.0,0.6382,0.813728,0.0,Mn,Yes,Mn
AGAYOW_clean,[Cu],[Br][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][CH1][C][=Branch1][Branch2][=C][Branch1][C][Br][C][Ring1][#Branch2][C][=Branch1][C][=O][OH0],-3.784692975040368,1.2945978825,2.8741915254,5.75249,2.57901,5.75249,1.68923,0.0,0.0,902.37,534.192,0.5038,0.298243,0.0,Cu,Yes,Cu
AGIREP_clean,[Zn],[O][=C][Branch1][C][OH0][C][=C][C][=Branch1][=N][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][=Branch2][C][=Branch1][C][=O][OH0],-3.573061160989334,1.7372125335000002,9.6604308206,10.92956,6.85619,7.97786,0.99837,2250.02,2253.69,0.0,0.0,0.6896,0.690726,0.0,Zn,Yes,Zn
AGOFEJ_clean,[Cu],[C][=Branch2][Ring2][=C][=C][Branch2][Ring2][=Branch2][N][Branch1][=Branch1][N][=C][Ring1][Branch1][C][C][N][C][=Branch2][Ring1][#Branch2][=C][Branch1][S][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2][C][Branch1][C][C][=N][Ring1][#C][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0],-4.592503721785926,0.3701456677,14.9753584085,12.6138,8.71559,12.59801,0.583675,1959.85,3357.77,0.0,0.0,0.767,1.31409,0.0,Cu,Yes,Cu
