MOFid,metal,linker,logKH_CO2,pure_uptake_CO2_298.00_15000,pure_uptake_methane_298.00_6500000,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites,metal_ids,metal_oms_flags,linker_ids
ABAYIO_clean,[Mn],[C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][#C],-0.8922636100759619,-1.0079833238521534,0.46624726499536373,1.220537160102123,-0.25715611286947665,1.2448929833767945,-0.7180943116854699,0.32622091693077293,0.2231006229761161,1.03461787895231,1.5884642597891603,0.8881094164548848,0.304844290642381,-0.025221413132076057,Mn,No, ,"[29, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[47, 37, 20, 47, 20, 47, 28, 59, 24, 47, 37, 20, 47, 20, 47, 28, 59, 24, 47, 37, 20, 47, 20, 47, 28, 59, 24, 67, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ABAYOU_clean,[Co],[C][=Branch1][C][=O][Branch2][Ring1][#Branch1][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][N][OH0],-0.9232216500984581,-1.0236275232101468,0.4487780179916105,1.1862515796428086,-0.17728885118637552,1.2447046995095534,-0.6559953559205194,0.3684549268657741,0.2142285222653263,1.0698283226292638,1.5720396394037763,0.8898895523344613,0.26143411123229854,-0.025221413132076057,Co,No, ,"[10, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[47, 20, 47, 28, 38, 67, 1, 47, 24, 47, 37, 20, 47, 20, 47, 28, 59, 24, 47, 37, 20, 47, 20, 47, 28, 59, 24, 67, 57, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ABETIN_clean,[Cu],[C][=C][C][=Branch1][=Branch1][=C][C][=N][Ring1][=Branch1][C][=C][C][Branch1][=Branch2][C][C][=C][N][=C][C][=Ring1][=Branch1][=C][Branch1][=Branch2][C][C][=C][N][=C][C][=Ring1][=Branch1][C][=C][Ring2][Ring1][C][C][=C][C][=N][C][=C][Ring1][=Branch1],-1.120953234501207,-1.0586357324192552,2.4155194001899174,0.6781913465903698,1.23445199581401,0.7173592441395843,-1.443093078846339,1.3577339540460511,2.0980170259809783,-0.4723287580722015,-0.43100109146521265,1.4808946643539198,1.3708945165663764,-0.025221413132076057,Cu,No, ,"[13, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[47, 24, 47, 20, 20, 24, 47, 27, 67, 20, 47, 24, 47, 37, 21, 47, 47, 24, 57, 24, 47, 31, 20, 24, 37, 21, 47, 47, 24, 57, 24, 47, 31, 20, 47, 24, 68, 67, 47, 47, 24, 47, 27, 47, 24, 67, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ABEXEM_clean,[La],[O][=C][Branch1][C][OH0][C][=N][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0],0.43415921567761867,0.495065185211322,-0.7786221308947182,-0.6357805112135245,-0.33324219866736887,-0.6293193912435784,0.9542241183824045,-0.2337406943547404,-0.553608287618526,-0.45927483936101443,-0.4215716087775035,-0.6214458094261411,-0.5476761585258176,-0.025221413132076057,La,Yes,La,"[25, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[61, 24, 37, 47, 59, 47, 27, 47, 27, 47, 20, 68, 24, 67, 20, 47, 20, 47, 28, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ABEXIQ_clean,[Ce],[OH0][C][=Branch1][C][=O][C][=N][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0],1.7854905147636935,0.851858974212938,-0.793555325699497,-0.6401713922557114,-0.3648071663825073,-0.6289080634105275,1.0093984667910632,-0.2509021415742208,-0.5667237083576295,-0.43129983273788647,-0.4018079552778085,-0.7674169515514289,-0.5749185102788986,-0.025221413132076057,Ce,Yes,Ce,"[9, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[59, 47, 20, 47, 28, 47, 27, 47, 27, 47, 20, 68, 24, 67, 20, 47, 20, 47, 28, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ABEXOW_clean,[Pr],[O][=C][Branch1][C][OH0][C][=N][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0],1.5315218009418272,0.7428355214690464,-0.8041504428326052,-0.649373888279176,-0.37317582950891925,-0.6435044081340642,1.0605552655583144,-0.2586817703861165,-0.5755413241236328,-0.4402152363095809,-0.4084645370357641,-0.5448999666043434,-0.5542825866552185,-0.025221413132076057,Pr,Yes,Pr,"[37, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[61, 24, 37, 47, 59, 47, 27, 47, 27, 47, 20, 68, 24, 67, 20, 47, 20, 47, 28, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ABEXUC_clean,[Nd],[O][=C][Branch1][C][OH0][C][=N][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0],1.9775032546838816,0.5702143607919737,-0.8103772605827846,-0.657314182485369,-0.3869298037445694,-0.6514963341297453,1.1341073282240766,-0.310245247548904,-0.6023967094465592,-0.448786005887719,-0.41479847727671637,-0.689090972850055,-0.5830421359904214,-0.025221413132076057,Nd,Yes,Nd,"[33, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[61, 24, 37, 47, 59, 47, 27, 47, 27, 47, 20, 68, 24, 67, 20, 47, 20, 47, 28, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ABEYAJ_clean,[Sm],[O][=C][Branch1][C][OH0][C][=N][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0],0.7402295110044049,0.5306636999669739,-0.8360130312237047,-0.6611572622914246,-0.4061539639690354,-0.6553923618442038,1.2541805554554661,-0.30081838277730655,-0.6112785686549228,-0.4514189139179357,-0.41705036809102475,-0.851083337891533,-0.6188683639967157,-0.025221413132076057,Sm,Yes,Sm,"[43, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[61, 24, 37, 47, 59, 47, 27, 47, 27, 47, 20, 68, 24, 67, 20, 47, 20, 47, 28, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ABEYEN_clean,[Eu],[O][=C][Branch1][C][OH0][C][=N][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0],0.5332390452744319,0.3932086858451957,-0.8498711503317671,-0.6686401142282707,-0.4180109846461121,-0.6630222034798052,1.3013404073999844,-0.324770873739002,-0.624195566610027,-0.45528816189983606,-0.41976677282013664,-0.8866860554830667,-0.6290244235162354,-0.025221413132076057,Eu,Yes,Eu,"[16, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[61, 24, 37, 47, 59, 47, 27, 47, 27, 47, 20, 68, 24, 67, 20, 47, 20, 47, 28, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ABEYIR_clean,[Gd],[OH0][C][=Branch1][C][=O][C][=N][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0],-0.34025392177116415,-0.1475376951695254,-0.8599766563042989,-0.6708482614790683,-0.42723264031228536,-0.6603775393137825,1.3844109722930802,-0.3420297185022932,-0.6377639442781783,-0.45790421543255694,-0.42168614581393277,-0.8884661913626432,-0.6392639798154424,-0.025221413132076057,Gd,Yes,Gd,"[19, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[59, 47, 20, 47, 28, 47, 27, 47, 27, 47, 20, 68, 24, 67, 20, 47, 20, 47, 28, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ABUWOJ_clean,[Zn],[C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][=C][Ring1][=Branch2][C][=Branch1][C][=O][OH0],0.9320411088579911,2.0803341140586817,0.2268793308990927,-0.5626885782379546,-0.38116255567722973,-0.576061126888162,-0.287075103900369,0.7115499496326421,0.2242147181157846,-0.4723287580722015,-0.43100109146521265,0.5089404741050518,-0.02721221963969678,-0.025221413132076057,Zn,Yes,Zn,"[54, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[47, 24, 47, 37, 20, 47, 20, 47, 28, 59, 24, 47, 24, 67, 21, 47, 20, 47, 28, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ACIBOE_clean,[Zn],[C][=Branch2][Ring1][=Branch1][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][C][=Branch1][C][=O][OH0][C][=Branch1][C][=O][OH0],-0.544466678780938,-0.5719649638780616,0.3382709893669359,0.33470867666515175,0.8920964378033384,0.3711602491052134,-0.40531468026978335,1.098437343035486,0.5228084797095376,-0.4723287580722015,-0.43100109146521265,0.815123845392241,0.09333065564000827,-0.025221413132076057,Zn,Yes,Zn,"[54, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[47, 21, 67, 20, 24, 47, 20, 27, 24, 47, 20, 68, 24, 67, 20, 47, 20, 47, 28, 59, 47, 20, 47, 28, 59, 47, 20, 47, 28, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ACOLEL_clean,[Mn],[OH0][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch2][C][Branch1][C][N][=C][Ring1][#Branch1][C][=Branch1][C][=O][OH0],-1.3798044460264682,-1.2238342627839573,-1.2243585967970216,-0.8668425078701943,-0.9108751666128347,-0.8916886152322756,0.3237572641429123,-1.4132139926810485,-1.001029708917485,-0.3511114328832085,-0.32502226988706806,-1.8675409251298187,-0.6234769789340876,-0.025221413132076057,Mn,Yes,Mn,"[29, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[59, 47, 20, 47, 28, 47, 24, 47, 24, 37, 38, 47, 37, 47, 57, 24, 67, 1, 47, 20, 47, 28, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ACOLIP_clean,[Zn],[OH0][C][=Branch1][C][=O][C][=C][C][=Branch1][=N][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2][N],-0.27160683055753765,0.17369421562537435,-0.05381572643791998,-0.610508237690969,-0.573794582367949,-0.6359353966709561,-0.5113161823469111,-0.11607350420749568,-0.175460814179269,-0.4723287580722015,-0.43100109146521265,-0.18175224717070074,-0.06456379125539956,-0.025221413132076057,Zn,No, ,"[54, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[59, 47, 20, 47, 28, 47, 24, 47, 20, 27, 24, 37, 20, 47, 20, 47, 28, 59, 47, 24, 67, 21, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ACOLOV_clean,[Cd],[C][Branch2][Branch1][O][C][Branch2][Ring1][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][Branch2][Ring1][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][O][C][C][Branch2][Ring1][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][Branch2][Ring1][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0],-0.2745901788250611,-0.029426722748143445,0.8614533196920324,0.38103741316622103,0.25757608182057307,0.4177242978114746,-0.8946913719486576,1.2980779584618756,1.0964780237443361,-0.4723287580722015,-0.43100109146521265,1.028740150941443,0.48346426746162136,-0.025221413132076057,Cd,Yes,Cd,"[8, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[47, 38, 37, 61, 47, 38, 67, 47, 47, 61, 47, 24, 47, 24, 37, 37, 47, 24, 67, 20, 47, 20, 47, 28, 59, 38, 67, 47, 47, 61, 47, 24, 47, 24, 37, 37, 47, 24, 67, 20, 47, 20, 47, 28, 59, 47, 61, 47, 24, 47, 24, 37, 37, 47, 24, 67, 20, 47, 20, 47, 28, 59, 61, 47, 47, 38, 67, 47, 47, 61, 47, 24, 47, 24, 37, 37, 47, 24, 67, 20, 47, 20, 47, 28, 59, 38, 67, 47, 47, 61, 47, 24, 47, 24, 37, 37, 47, 24, 67, 20, 47, 20, 47, 28, 59, 47, 61, 47, 24, 47, 24, 37, 37, 47, 24, 67, 20, 47, 20, 47, 28, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
